ID;BrindeID;TipoMovimento;Quantidade;DataMovimento;Usuario;Observacao
1;1;Entrada;100;2025-10-03;Sistema;Estoque inicial
2;2;Entrada;100;2025-10-03;Sistema;Estoque inicial
3;3;Entrada;50;2025-10-03;Sistema;Estoque inicial
4;4;Entrada;20;2025-10-03;Sistema;Estoque inicial
5;5;Entrada;20;2025-10-03;Sistema;Estoque inicial
6;6;Entrada;20;2025-10-03;Sistema;Estoque inicial
7;7;Entrada;5;2025-10-03;Sistema;Estoque inicial
8;8;Entrada;20;2025-10-03;Sistema;Estoque inicial
9;9;Entrada;20;2025-10-03;Sistema;Estoque inicial
10;10;Entrada;10;2025-10-03;Sistema;Estoque inicial
11;11;Entrada;10;2025-10-03;Sistema;Estoque inicial
12;12;Entrada;5;2025-10-03;Sistema;Estoque inicial
13;13;Entrada;5;2025-10-03;Sistema;Estoque inicial
14;14;Entrada;10;2025-10-03;Sistema;Estoque inicial
15;15;Entrada;10;2025-10-03;Sistema;Estoque inicial
16;16;Entrada;10;2025-10-03;Sistema;Estoque inicial
17;17;Entrada;5;2025-10-03;Sistema;Estoque inicial
18;18;Entrada;5;2025-10-03;Sistema;Estoque inicial
19;19;Entrada;5;2025-10-03;Sistema;Estoque inicial
20;20;Entrada;5;2025-10-03;Sistema;Estoque inicial
21;21;Entrada;2;2025-10-03;Sistema;Estoque inicial
22;22;Entrada;2;2025-10-03;Sistema;Estoque inicial
23;23;Entrada;2;2025-10-03;Sistema;Estoque inicial
24;24;Entrada;2;2025-10-03;Sistema;Estoque inicial
25;25;Entrada;20;2025-10-03;Sistema;Estoque inicial
26;26;Entrada;10;2025-10-03;Sistema;Estoque inicial
27;27;Entrada;15;2025-10-03;Sistema;Estoque inicial
28;28;Entrada;0;2025-10-03;Sistema;Estoque inicial
